ID,link
hindu,"	http://www.thehindu.com/business/Industry/TRAI-wants-Jio-rivals-to-pay-Rs.-3050-crore-fine/article16078017.ece"
economicindiatimes,"	http://economictimes.indiatimes.com/tech/internet/capping-data-usage-to-help-reliance-jio-retain-users-credit-suisse/articleshow/55760999.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/markets/stocks/news/telecom-rivals-tumble-as-reliance-jio-extends-free-services/articleshow/55742387.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/news/company/corporate-trends/reliance-jio-money-to-launch-merchant-app-from-december-5/articleshow/55724878.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/news/economy/policy/clean-chit-for-reliance-jios-free-voice-offer/articleshow/55465522.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/news/economy/policy/reliance-jio-moves-cci-against-vodafone-airtel-idea/articleshow/55673022.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/news/company/corporate-trends/reliance-jio-call-drop-rate-reduces-to-28/articleshow/55361729.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/news/economy/policy/reliance-jio-crosses-50-million-subscribers-in-83-days/articleshow/55670041.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/magazines/panache/micromax-launches-low-cost-4g-volte-smartphones-bundles-reliance-jio-offer/articleshow/55851695.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/magazines/brand-equity/from-airtel-to-reliance-jio-what-does-the-future-hold-for-telecom/articleshow/55559314.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/magazines/brand-equity/the-war-over-data-has-a-new-enemy-reliance-jio/articleshow/55561000.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/news/economy/policy/trai-checking-readiness-of-reliance-jio-network/articleshow/55252679.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/news/company/corporate-trends/jio-at-loggerheads-with-rivals-over-top-up-misuse/articleshow/55823468.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/news/company/corporate-trends/Reliance-Jios-entry-Vodafone-takes-EUR-5-billion-charge-on-India-biz-defers-IPO/articleshow/55433456.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/news/economy/policy/voda-says-it-has-provided-enough-ports-to-reliance-jio/articleshow/55444606.cms"
economicindiatimes,"	http://economictimes.indiatimes.com/news/company/corporate-trends/reliance-jio-faces-competition-capex-linked-to-customer-base-fitch/articleshow/55227282.cms"
economicindiatimes,http://economictimes.indiatimes.com/news/politics-and-nation/reliance-jio-case-delhi-hc-issues-notices-to-dot-and-trai-no-interim-relief-for-vodafone/articleshow/56121243.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=ETTWMain
economicindiatimes,http://economictimes.indiatimes.com/markets/stocks/news/Jio-Money-number-portability-game-changer-moves-by-Jio-5-takeaways/articleshow/55723739.cms
economicindiatimes,http://economictimes.indiatimes.com/news/company/corporate-trends/BSNL-gets-set-to-take-on-Jio-at-its-game/articleshow/55823302.cms
economicindiatimes,http://economictimes.indiatimes.com/news/economy/policy/trai-defends-fine-on-vodafone/articleshow/56129144.cms
economicindiatimes,http://economictimes.indiatimes.com/jobs/telecom-hiring-dips-on-cash-crunch-jio-entry/articleshow/56027256.cms
economicindiatimes,http://economictimes.indiatimes.com/news/economy/policy/airtel-challenges-trais-permission-to-jio-to-continue-promo/articleshow/56143047.cms
economicindiatimes,http://economictimes.indiatimes.com/news/company/corporate-trends/jio-effect-telecos-pushing-secondary-verticals-for-revenue/articleshow/55989210.cms
economicindiatimes,http://economictimes.indiatimes.com/news/company/corporate-trends/reliance-jios-free-data-offer-to-march-into-next-year/articleshow/55736589.cms
businessstandard,"	http://www.business-standard.com/article/technology/bsnl-unlimited-call-offer-all-you-need-to-know-about-the-plans-116121900542_1.html"
businessstandard,"	http://www.business-standard.com/article/companies/jio-brings-pokemon-go-to-india-116121300687_1.html"
businessstandard,"	http://www.business-standard.com/article/companies/four-cases-registered-with-cci-against-telcos-116120900584_1.html"
businessstandard,"	http://www.business-standard.com/article/companies/tariff-war-vodafone-mimics-airtel-idea-launches-free-calling-plans-116120900597_1.html"
businessstandard,"	http://www.business-standard.com/article/pti-stories/call-drop-way-above-benchmark-meet-with-telcos-next-week-trai-116120801064_1.html"
businessstandard,"	http://www.business-standard.com/article/companies/bharti-airtel-slashes-prepaid-tariffs-to-compete-with-jio-116120800363_1.html"
businessstandard,"	http://www.business-standard.com/article/companies/telcos-revenues-may-slip-7-post-rjio-offer-demonetisation-icra-116120700614_1.html"
businessstandard2,"	http://www.business-standard.com/article/companies/free-voice-calls-airtel-idea-unleash-tariff-war-against-reliance-jio-116120900182_1.html"
digit,http://www.digit.in/telecom/reliance-jio-happy-new-year-offer-50-million-subscribers-jio-money-other-announcements-32712.html
digit,http://www.digit.in/general/reliance-jio-announcement-free-welcome-offer-ends-december-3-jio-live-32703.html
digit,http://www.digit.in/gaming/reliance-jio-partners-with-niantic-to-finally-bring-pokemon-go-to-india-32902.html
digit,http://www.digit.in/telecom/reliance-jio-50-million-subscribers-free-welcome-offer-32670.html
digit,http://www.digit.in/telecom/reliance-jio-launches-yet-another-hotspot-device-called-jio-dongle-2-31864.html
Miscellaneous,http://www.bgr.in/news/reliance-jio-launch-boosts-demand-for-volte-devices-in-india-report/
Miscellaneous,http://tech.firstpost.com/news-analysis/4g-in-india-the-devices-are-here-how-soon-before-4g-services-go-mainstream-251263.html
Miscellaneous,http://www.india.com/technology/reliance-jio-4g-launch-surges-demand-for-volte-devices-report-1624843/
Miscellaneous,http://telecom.economictimes.indiatimes.com/tele-talk/reliance-jio-effect-will-india-be-amongst-first-countries-to-shutdown-3g-network/1521
Miscellaneous,http://www.businesstoday.in/sectors/telecom/demonetisation-why-should-paytm-have-all-the-fun-its-time-for-jio-money/story/241512.html
Miscellaneous,http://www.businesstoday.in/sectors/telecom/reliance-jio-craze--means-waiting-2-months-for-a-free-sim/story/236980.html
Miscellaneous,http://www.bgr.in/news/reliance-jio-effect-airtel-signs-rs-420-crore-deal-with-nokia-for-volte-network/
Miscellaneous,https://yourstory.com/2016/09/reliance-jio-affect-indian-online-video-ecosystem/
Miscellaneous,http://www.televisionpost.com/tvp-special/reliance-jio-ups-its-tv-channel-offering-to-368/
Miscellaneous,http://www.televisionpost.com/news/idea-cellular-plans-to-take-on-reliance-jio-with-its-own-tv-and-music-streaming-apps/
Miscellaneous,http://telecom.economictimes.indiatimes.com/news/reliance-jio-aims-to-disrupt-on-demand-content-and-live-tv/51050349
